sample_id,animal,genotype,inoculation_status,colonization_days,fix_embed,post_fix_mods,method_isolation,DNA_ug/mL,DNA_260/280,Dilution Conc (ng/uL),Ec_Ct Undiluted,pks_Ct Undiluted,Ec_copy#_Undiluted,Ec_Ct Diluted,pks_Ct Diluted,Ec_copy#_Diluted,notes,,,,,,,
1,Mouse,Min,Sham,42,FFPE,stained_me_b,4 x 10 µm slice,183.5,1.95,80,32.9,ND,5.296734053,33.5,ND,3.594807396,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
2,Mouse,Min,Sham,42,FFPE,stained_me_b,8 x 10 µm slice,565.7,1.91,80,36,ND,0.714973653,34,ND,2.602546566,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
3,Mouse,Min,NC101,42,FFPE,stained_me_b,4 x 10 µm slice,188.3,1.96,80,30.1,ND,32.32659979,31.3,ND,14.89000845,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
4,Mouse,Min,NC101,42,FFPE,stained_me_b,8 x 10 µm slice,407.3,1.95,80,30.8,ND,20.56705275,30.4,ND,26.63138518,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
5,Mouse,Min,NC101/ET,42,FFPE,stained_me_b,4 x 10 µm slice,2063,1.96,80,ND,ND,,30.6,ND,23.40361305,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
6,Mouse,Min,NC101/ET,42,FFPE,stained_me_b,8 x 10 µm slice,436.3,1.95,80,30.9,ND,19.28042658,30.6,ND,23.40361305,Janssen 3rd co-inf exp 2/26/2020,,,,,,,
16,Mouse,CDX2-Cre/APC_Oil,NC101,15,FFPE,none,4 x 10 µm slice,338.3,2.03,80,29.9,ND,36.7850096,32.1,ND,8.880789088,Lindsey's exp 2 2022,,,,,,,
17,Mouse,CDX2-Cre/APC_Oil,NC101,15,FFPE,none,8 x 10 µm slice,982.4,2.01,80,30.8,ND,20.56705275,33,ND,4.9653829,Lindsey's exp 2 2022,,,,,,,
19,Mouse,CDX2-Cre/APC_TAM,NC101,15,FFPE,none,4 x 10 µm slice,1868.4,2.04,80,28.5,ND,90.87549785,29.2,ND,57.81743734,Lindsey's exp 2 2022,,,,,,,
20,Mouse,CDX2-Cre/APC_TAM,NC101,15,FFPE,none,8 x 10 µm slice,1795.4,2.02,80,27.9,ND,133.8996199,28.3,ND,103.4088361,Lindsey's exp 2 2022,,,,,,,
32,Mouse,WT,DH5a bath,0.125,FFPE,none,8 x 10 µm slice,375.5,2.04,80,21,ND,11550.57403,23.6,ND,2153.58767,Dissected & flushed colons incubated @ 37°C for 3 hours with LB bacterial culture,,,,,,,
33,Mouse,WT,PL-1 bath,0.125,FFPE,none,8 x 10 µm slice,81.9,2.12,81.9,19.7,31.8,26750.01771,,,,Dissected & flushed colons incubated @ 37°C for 3 hours with LB bacterial culture,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
